ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000100603,0.21,0.69,0.42,1.21,1.75,NONE,NONE
ENSG00000082701,-0.61,-0.31,-1.04,-0.98,-1.75,NONE,NONE
ENSG00000102755,0.46,2.07,2.26,-0.35,1.75,UP,UP
ENSG00000125398,0.2,0.35,0.66,-0.22,1.75,NONE,UP
ENSG00000011422,0.15,0.61,0.83,0.26,1.74,NONE,UP
ENSG00000213341,1.41,1.29,4.79,0.24,1.74,NONE,NONE
ENSG00000112511,0.37,0.86,0.64,1.58,1.72,NONE,NONE
ENSG00000198742,-1.03,-1.07,-0.57,-2.28,-1.72,NONE,NONE
ENSG00000126107,0.32,0.81,-0.04,1.77,1.71,NONE,NONE
ENSG00000197461,0.94,0.7,2.11,-0.14,1.71,NONE,NONE
ENSG00000142168,-0.99,-0.78,-1.35,-1.91,-1.7,NONE,NONE
ENSG00000120088,-0.27,-1.07,-1.86,0.28,-1.69,NONE,NONE
ENSG00000130881,2.08,1.17,1.49,2.2,1.69,NONE,NONE
ENSG00000277586,-0.82,-0.64,-1.01,-1.28,-1.69,NONE,DOWN
ENSG00000049540,2.02,0.9,1.41,1.16,1.68,NONE,NONE
ENSG00000205927,1.11,0.96,3.37,0.14,1.68,NONE,NONE
ENSG00000176171,-0.33,-0.38,0.05,-1.66,-1.67,NONE,NONE
ENSG00000133048,0.7,0.96,1.37,0.11,1.67,UP,UP
ENSG00000140443,0.62,1.19,2.23,0.16,1.67,NONE,UP
ENSG00000114062,-0.05,-1.31,-0.23,0.34,-1.66,NONE,NONE
ENSG00000167371,-1.35,-2.19,-2.7,-0.25,-1.65,NONE,NONE
ENSG00000184557,-0.05,0.51,0.57,0.02,1.65,UP,UP
ENSG00000164897,0.74,0.5,0.57,1.74,1.63,NONE,NONE
ENSG00000120875,-1.74,-1.02,-0.88,-1.31,-1.63,DOWN,DOWN
ENSG00000069702,0.4,0.69,1.67,0.07,1.63,UP,UP
ENSG00000134352,0.1,0.88,1.9,0.41,1.63,NONE,NONE
ENSG00000196352,0.91,1.15,1.49,-0.44,1.62,NONE,UP
