ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000156475,-1.86,-2.1,-2.79,-3.16,-5.35,NONE,NONE
ENSG00000005194,-1.28,-1.7,-3.11,-2.1,-5.34,NONE,NONE
ENSG00000123136,3.59,2.88,3.05,3.75,5.34,NONE,NONE
ENSG00000176387,2.08,3.75,1.66,3.86,5.33,NONE,UP
ENSG00000170464,-2.33,-3.1,-3.56,-0.98,-5.33,NONE,NONE
ENSG00000121966,1.28,3.12,2.27,1.87,5.33,UP,UP
ENSG00000168209,1.87,1.84,3.99,2.08,5.33,UP,UP
ENSG00000163590,-1.16,-1.92,-2.89,-1.79,-5.32,UP,NONE
ENSG00000105698,1.72,2.09,1.73,1.97,5.31,NONE,NONE
ENSG00000189410,-2.02,-3.06,-3.54,-1.77,-5.31,DOWN,DOWN
ENSG00000101040,2.36,3.36,2.38,3.44,5.3,NONE,NONE
ENSG00000185022,1.36,2.74,2.53,0.86,5.3,UP,UP
ENSG00000183723,5.25,4.02,6.89,4.18,5.29,NONE,UP
ENSG00000142208,1.92,2.4,1.82,1.3,5.29,NONE,NONE
ENSG00000184203,-3.03,-2.76,-1.91,-1.37,-5.27,NONE,DOWN
ENSG00000087206,0.97,2.25,0.59,1.91,5.27,NONE,NONE
ENSG00000146066,0.9,2.92,0.01,4.02,5.27,NONE,NONE
ENSG00000179094,1.13,2.4,2.37,0.89,5.27,NONE,NONE
ENSG00000100246,-1.08,-3.44,-1.71,-1.37,-5.25,NONE,DOWN
ENSG00000102974,2.65,3.12,3.39,2.19,5.24,NONE,NONE
ENSG00000166272,2.18,2.26,4.93,0.83,5.24,NONE,UP
ENSG00000184007,1.93,3.57,4.87,1.33,5.24,NONE,NONE
ENSG00000103507,-2.63,-3.33,-2.42,-3.63,-5.23,NONE,NONE
ENSG00000160200,2.49,2.62,3.23,1.41,5.23,NONE,NONE
ENSG00000128271,2.35,3.24,5.36,3.06,5.23,UP,UP
ENSG00000095066,2.15,3.84,1.92,3.52,5.23,NONE,NONE
ENSG00000158301,-1.21,-2.54,-2.12,-2.17,-5.22,NONE,DOWN
ENSG00000072864,3.06,3.11,5.18,0.81,5.21,NONE,NONE
ENSG00000048052,-1.87,-2.01,-2.72,-1.37,-5.19,NONE,DOWN
ENSG00000197106,-1.59,-1.78,-3.55,-2.97,-5.19,DOWN,DOWN
ENSG00000145832,1.9,3.46,1.84,1.3,5.19,UP,UP
ENSG00000067113,1.53,4.87,3.63,1.87,5.19,UP,UP
ENSG00000053254,1.83,3.75,3.93,1.77,5.18,UP,NONE
ENSG00000146147,-2.49,-2.65,-4.02,-1.89,-5.18,NONE,DOWN
ENSG00000166333,1.3,3.49,1.75,0.9,5.17,NA,NA
ENSG00000113108,-2.75,-3.34,-4.45,-4.61,-5.17,NONE,DOWN
ENSG00000135119,-1.47,-2.16,-3.3,-2.32,-5.17,NONE,DOWN
ENSG00000187984,-2.85,-4.39,-4.44,-2.97,-5.17,DOWN,DOWN
ENSG00000159335,3.64,2.15,2.03,3.17,5.17,NONE,UP
ENSG00000051128,2.41,3.24,3.44,2.52,5.16,NONE,NONE
ENSG00000183943,1.18,2.15,3.47,1.65,5.15,UP,UP
ENSG00000120071,3.14,3.49,2.72,1.07,5.15,NONE,NONE
ENSG00000167264,-2.27,-3,-3.15,-1.94,-5.14,DOWN,NONE
ENSG00000062822,1.9,3.66,2.5,1.97,5.13,NONE,NONE
ENSG00000130699,1.15,3.32,2.46,0.82,5.12,NONE,NONE
ENSG00000205726,1.49,2.41,1.81,1.56,5.12,NONE,NONE
ENSG00000166012,-5.41,-2.91,-3.5,-3.86,-5.12,NONE,DOWN
