ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles
ENSG00000196358,0.06,-0.07,0.08,-0.18
ENSG00000148229,0.28,-0.35,-0.07,0.9
ENSG00000136933,-0.68,-2.74,-2.03,-0.3
ENSG00000107263,1.58,3.31,2.37,0.77
ENSG00000197958,-0.39,0.25,0.29,0.02
ENSG00000136942,-0.71,-0.18,-0.86,-0.47
ENSG00000136856,-0.5,-1.38,-0.63,0.03
ENSG00000175854,-0.44,-0.32,-0.3,-0.38
ENSG00000244187,-1.02,-1.8,-3.71,-1.67
ENSG00000167118,0.17,-1.2,-0.02,0.23
ENSG00000171448,NA,NA,NA,NA
ENSG00000204683,NA,NA,NA,NA
ENSG00000151465,-1.97,-3.35,-1.25,-0.36
ENSG00000148444,-0.62,-0.2,-0.94,-0.22
ENSG00000136770,0.7,0.13,0.92,1.51
ENSG00000057608,-0.22,-0.41,0.49,-1.4
ENSG00000165996,NA,NA,NA,NA
ENSG00000107643,-1.65,-1.1,-2.72,-1.43
ENSG00000078403,-0.09,-0.17,-0.29,-0.01
ENSG00000107537,-1.17,-0.86,-1.16,-2.61
ENSG00000183621,2,3.89,0.81,1.14
ENSG00000181915,-0.42,-0.26,-0.2,-0.57
ENSG00000172586,-1.36,-0.63,-2.63,-0.04
ENSG00000171224,NA,NA,NA,NA
ENSG00000165443,0.1,1.48,0.11,-0.32
ENSG00000148688,-0.17,-0.61,-0.78,0.18
ENSG00000138326,-0.35,0.57,0.16,-0.1
ENSG00000122912,-0.27,1.54,-0.43,-0.82
ENSG00000107854,1.06,1.63,2.99,0.24
ENSG00000165637,-0.78,-0.2,-0.49,-1.53
ENSG00000173915,NA,NA,NA,NA
ENSG00000176171,-0.33,-0.38,0.05,-1.66
ENSG00000166171,-0.83,-1.67,-1.65,-0.01
ENSG00000127884,-1.16,-3.31,-1.26,-1.51
ENSG00000119979,0.22,0.88,0.75,0.19
ENSG00000148834,-0.39,0.13,-0.87,-0.05
ENSG00000148814,0.11,-0.16,-0.53,0.9
ENSG00000055950,0.01,0.58,-0.23,-0.03
ENSG00000107833,-1.13,-1.72,-2.7,-1.02
ENSG00000065154,-0.84,-0.46,-0.86,-1.91
ENSG00000165672,-0.95,0.23,-0.43,-1.01
ENSG00000269609,NA,NA,NA,NA
ENSG00000095587,NA,NA,NA,NA
ENSG00000171206,2.16,2.75,4.15,1.36
ENSG00000165832,-1.76,-0.81,-2.29,-2.39
ENSG00000188690,-0.27,0.05,-0.61,0.18
ENSG00000132254,-0.49,-0.2,-0.8,-0.67
ENSG00000177830,-4.25,-9.91,-5.8,-4.88
ENSG00000158042,-1.12,-0.6,-2.5,-0.83
ENSG00000177700,-0.17,-0.25,-0.11,-0.35
ENSG00000129084,-1.05,-0.55,-1.02,0.47
ENSG00000185627,-0.7,-1.38,-2.21,-0.41
ENSG00000177963,-0.13,-0.69,-0.19,-0.59
ENSG00000166441,-0.37,-0.17,-0.31,0.22
ENSG00000167325,-1.78,-1.3,-0.42,-2.08
ENSG00000198168,0.01,0.14,-0.22,0.75
ENSG00000166337,-0.25,0.14,-1.15,0.2
ENSG00000172409,0.87,1.36,1.94,0.54
ENSG00000110442,-0.27,-1.63,-2.48,0.07
ENSG00000167986,-0.59,-1.53,-0.83,-2.26
ENSG00000110429,-0.31,-0.07,-0.31,-0.26
ENSG00000110031,-0.65,0.16,-0.85,0.12
ENSG00000156603,-0.19,-0.76,-0.89,0.38
ENSG00000169519,-0.99,-0.9,-1.43,-0.32
ENSG00000166902,-0.79,-0.43,-1.62,0.07
ENSG00000166889,0.41,2.83,0.99,-0.01
ENSG00000165916,-0.48,-1.09,-1.52,-0.07
ENSG00000211450,NA,NA,NA,NA
ENSG00000149136,2.06,1.11,3.24,0.73
ENSG00000134809,-0.24,-1.28,-1.08,-0.18
ENSG00000149476,NA,NA,NA,NA
ENSG00000213593,-0.24,-0.16,-0.02,-0.41
ENSG00000213465,0.01,0.33,-0.49,0.12
ENSG00000175505,NA,NA,NA,NA
ENSG00000176340,-0.6,0,-0.19,-0.24
ENSG00000214756,NA,NA,NA,NA
ENSG00000175550,0.01,-0.71,-1.02,-0.08
ENSG00000149806,-0.11,-0.01,-0.09,0.12
ENSG00000172977,0.24,-0.12,0.02,1.24
ENSG00000149243,-1.57,-2.31,-2.69,-0.26
ENSG00000168056,3.34,1.02,5.01,2.44
ENSG00000174547,-1.1,-0.45,-1.45,-0.37
ENSG00000197345,0.04,-0.41,-1.49,-0.35
ENSG00000175581,0.29,0.73,-0.14,0.67
ENSG00000151366,-0.67,-0.21,-0.82,-1.5
ENSG00000110717,0.53,0.69,-0.28,1.16
ENSG00000167792,-0.72,-1.35,-1.6,-1.93
ENSG00000175482,-0.98,-2.36,-0.18,-1.19
ENSG00000168002,-0.93,-1.23,-0.31,-1.11
ENSG00000126432,0.11,-0.16,-0.79,0.26
ENSG00000149273,0.43,0.82,1.09,0.6
ENSG00000137492,NA,NA,NA,NA
ENSG00000172663,-1.02,-1.25,-0.79,-0.06
ENSG00000134825,NA,NA,NA,NA
ENSG00000173113,-0.06,0,-0.63,0.55
ENSG00000133316,0.04,-0.18,-0.52,0.61
ENSG00000167283,NA,NA,NA,NA
ENSG00000166266,-0.68,-1.01,-0.4,-0.83
ENSG00000137692,-0.24,-1.16,-0.06,-1.14
ENSG00000110367,-0.25,-0.28,0.37,-1.51
ENSG00000150768,-1.12,-1.21,-0.94,-0.97
ENSG00000196371,NA,NA,NA,NA
ENSG00000118058,NA,NA,NA,NA
ENSG00000150776,NA,NA,NA,NA
ENSG00000168092,1.12,-0.1,0.67,0.88
ENSG00000150787,-0.99,-0.05,-0.93,-0.07
ENSG00000109929,NA,NA,NA,NA
ENSG00000204370,-0.63,0.06,-0.02,-1.07
ENSG00000150779,-1.38,-1.71,-1.47,-0.52
ENSG00000171204,-1.46,0.26,-1.31,-0.97
ENSG00000084234,-0.22,-0.72,0.04,-1.7
ENSG00000111678,-0.01,-0.01,-0.08,-0.24
ENSG00000215039,-0.95,-3,-0.14,-1.92
ENSG00000109832,-3.3,-1.69,-3.55,-2.33
ENSG00000010219,-0.99,-1,-2.04,-0.67
ENSG00000111640,-0.31,-0.07,-0.67,-0.32
ENSG00000197837,NA,NA,NA,NA
ENSG00000183935,NA,NA,NA,NA
ENSG00000003056,-0.86,-0.21,-0.53,0.1
ENSG00000111196,-0.21,-1.08,-0.74,0.32
ENSG00000111639,0.32,0.24,-0.11,1.37
ENSG00000121350,-1.25,-0.91,-0.44,-2.03
ENSG00000171792,-0.84,-1.82,-2.43,-0.08
ENSG00000151500,-1.45,-0.54,-2.92,-1.22
ENSG00000111669,-0.15,-0.7,-0.36,-1.03
ENSG00000173208,NA,NA,NA,NA
ENSG00000076108,0.08,0.63,0.75,-0.31
ENSG00000135441,0.23,0.64,-0.26,0.82
ENSG00000123106,0.15,-0.26,-0.27,0.22
ENSG00000257727,-1.12,-3.51,-1.54,-1.08
ENSG00000111481,-0.9,-1.97,-1.45,-2.22
ENSG00000135469,-0.19,-0.82,-0.17,-0.05
ENSG00000178449,-0.38,-0.14,-0.76,-0.12
ENSG00000188906,-0.92,0.25,-1.35,-1.66
ENSG00000092841,1.29,1.22,3.23,0.46
ENSG00000196465,0.54,1.09,-0.72,2.89
ENSG00000139579,-0.08,-0.33,-0.37,0.41
ENSG00000170515,-2.07,-3.71,-3.76,-1.37
ENSG00000123349,0,0.57,-0.42,0.95
ENSG00000181929,-1.45,-2.06,-1.9,-0.11
ENSG00000229117,-1.24,0,-0.01,-1.86
ENSG00000111371,0.01,-0.15,0.32,0.05
ENSG00000015153,0.83,0.58,0.22,1.98
ENSG00000075089,-2.35,-1.41,-1.94,-2.45
ENSG00000120805,-1.44,-0.79,-1.39,-1.18
ENSG00000133641,-2.27,-1.53,-1.34,-0.28
ENSG00000111530,-0.17,-0.19,-0.58,-0.27
ENSG00000175215,1.62,2.16,5.09,0.05
ENSG00000127334,NA,NA,NA,NA
ENSG00000198855,0.24,-1.33,0.1,-0.09
ENSG00000136003,-0.76,-0.46,-1.21,-1.33
ENSG00000111615,-0.12,-0.42,-0.41,0.09
ENSG00000111144,-0.86,-0.23,-0.98,-0.86
ENSG00000037897,-0.44,-3.97,-0.53,-0.54
ENSG00000198015,-0.81,-1.02,-0.31,-1.15
ENSG00000196531,-0.23,0.99,0.19,0.05
ENSG00000166881,NA,NA,NA,NA
ENSG00000091039,-0.38,-0.15,-0.32,0.08
ENSG00000075415,-1.84,-0.97,-2.02,-2.72
ENSG00000139351,NA,NA,NA,NA
ENSG00000135452,-0.17,-0.83,0.5,-0.6
ENSG00000135655,-1.24,-0.49,-0.59,-2.76
ENSG00000186908,-0.37,-0.18,-0.36,-0.58
ENSG00000189046,-0.28,-0.03,-1.53,0.12
ENSG00000196510,-0.38,-0.55,-1.45,-0.34
ENSG00000176915,0.04,-0.47,-0.03,-0.51
ENSG00000111229,-0.48,-0.81,-0.84,-0.44
ENSG00000204842,-0.04,0.01,0.01,-0.11
ENSG00000174456,-0.39,-0.56,-0.32,-2.03
ENSG00000111775,0.53,1.98,-0.09,0.72
ENSG00000135144,3.44,2.27,3.98,2.62
ENSG00000089248,-0.56,-0.79,-1.86,-1.03
ENSG00000111231,-0.99,-0.2,-0.2,-1.49
ENSG00000234608,-0.2,-0.57,-0.36,0.73
ENSG00000123066,0.19,2,1.17,0.33
ENSG00000139428,-0.44,-0.78,-0.69,-0.2
ENSG00000196199,0.43,0.31,0.46,1.16
ENSG00000173141,NA,NA,NA,NA
ENSG00000089220,-0.29,-0.96,-2.34,-0.2
ENSG00000111737,-0.07,0.06,-0.06,-0.61
ENSG00000132341,-0.52,-0.1,-0.1,-1.73
ENSG00000150459,0.13,0.19,-0.35,0.17
ENSG00000170855,-0.38,-1.09,-0.87,-0.33
ENSG00000132953,NA,NA,NA,NA
ENSG00000133103,-0.66,-0.26,-0.37,-0.38
ENSG00000188811,-2.1,-2.76,-0.5,-1.61
ENSG00000139514,0.33,2.29,0.15,-0.19
ENSG00000065150,-1.39,-1.84,-0.88,-2.11
ENSG00000165782,NA,NA,NA,NA
ENSG00000151287,-0.32,-0.12,-0.58,0.3
ENSG00000136319,-0.06,-0.8,-0.18,0.38
ENSG00000179933,0.28,0.02,0.65,-0.83
ENSG00000129518,0.11,-0.37,-0.76,0.79
ENSG00000092208,-1.08,-1.49,-0.96,-1.25
ENSG00000165516,0.1,2.03,1.05,0.25
ENSG00000179454,NA,NA,NA,NA
ENSG00000129460,-0.34,0.28,-1.88,0.11
ENSG00000151413,-0.27,-0.69,-1.03,-0.19
ENSG00000100462,-0.8,-0.16,-0.48,-1.98
ENSG00000100902,-0.84,-0.59,-1.28,-0.38
ENSG00000100804,-0.12,0.4,-0.42,-0.74
ENSG00000087302,NA,NA,NA,NA
ENSG00000092108,-0.39,-0.46,-2.51,0.25
ENSG00000092203,-1.07,-3.28,-0.4,-2.34
ENSG00000131966,-1.64,-1.47,-1.81,-1.45
ENSG00000066427,-0.17,-0.09,-0.78,0.05
ENSG00000119599,-0.45,-1.79,-1.49,-0.86
ENSG00000119661,0.16,-0.31,0.6,-1.16
ENSG00000134001,-0.22,-0.67,0.3,-1.72
ENSG00000165521,NA,NA,NA,NA
ENSG00000089916,NA,NA,NA,NA
ENSG00000100744,NA,NA,NA,NA
ENSG00000100577,-1.38,-1.04,-2.21,-0.27
ENSG00000187105,NA,NA,NA,NA
ENSG00000276880,-0.18,0.41,-0.71,0.33
ENSG00000183648,0.04,0.37,-0.81,1.08
ENSG00000133961,-0.25,0.16,0.01,-2.54
ENSG00000257621,NA,NA,NA,NA
ENSG00000100764,-0.29,-1.39,-0.98,-0.31
ENSG00000100519,-0.38,-0.52,-0.26,0.39
ENSG00000072042,-0.07,-0.33,0.11,-0.99
ENSG00000200312,NA,NA,NA,NA
ENSG00000029364,-0.29,-0.56,-0.77,-0.32
ENSG00000119705,0.09,0.29,-0.37,0.57
ENSG00000198554,NA,NA,NA,NA
ENSG00000140057,NA,NA,NA,NA
ENSG00000156411,NA,NA,NA,NA
ENSG00000100664,1.35,0.57,0.76,1.41
ENSG00000126214,-0.35,-1.23,-0.38,-0.54
ENSG00000078304,-2.11,-0.79,-1,-2.57
ENSG00000156414,-0.43,-0.12,-0.46,0.13
ENSG00000184986,0.1,-1.25,-0.16,-0.04
ENSG00000021776,0.08,0.18,-0.23,-0.72
ENSG00000104164,0.76,0.68,1.13,2.2
ENSG00000166946,-0.3,-0.06,-0.2,-0.31
ENSG00000166200,-0.14,0.18,0.16,-0.69
ENSG00000137770,-0.25,0.46,-0.02,0.07
ENSG00000255302,-0.79,-0.33,-0.6,-0.92
ENSG00000128463,-1.62,-0.72,-2.8,-1.63
ENSG00000168806,-0.37,-0.19,-0.36,-0.5
ENSG00000069956,-0.67,-0.29,-0.92,-0.24
ENSG00000137806,-1.36,-0.82,-1.09,-0.7
ENSG00000182117,-0.9,0.12,-0.48,-0.21
ENSG00000168781,-0.14,-0.43,-0.27,-1.41
ENSG00000140263,-1.1,-1.26,-0.37,-1.53
ENSG00000248508,NA,NA,NA,NA
ENSG00000137842,-0.16,0.15,-0.56,0.67
ENSG00000159459,-0.63,-0.11,-0.58,-1.23
ENSG00000103591,-1.38,-1.94,-1.65,-0.78
ENSG00000159322,-0.45,-1.29,-1.25,-0.28
ENSG00000140350,0.18,-0.1,1.57,-0.69
ENSG00000260916,-2.36,-2.62,-1.7,-2.42
ENSG00000140365,-0.82,-0.53,-1.03,0.07
ENSG00000179151,0.73,0.35,0.7,1.47
ENSG00000103876,-0.13,-1.48,0.29,0.19
ENSG00000178761,-0.5,0.44,0.25,-0.76
ENSG00000138604,-0.73,-0.14,-0.75,-0.78
ENSG00000074696,NA,NA,NA,NA
ENSG00000166503,NA,NA,NA,NA
ENSG00000188266,NA,NA,NA,NA
ENSG00000166411,-0.51,-0.02,-0.55,-1.11
ENSG00000177971,-0.09,-0.29,-0.23,-0.15
ENSG00000185787,0.02,0.55,0.31,-0.22
ENSG00000178802,-0.68,-0.83,-1.28,-2.17
ENSG00000181991,-0.09,-0.13,-1.02,0.19
ENSG00000041357,0.03,-0.3,-0.41,1.35
ENSG00000117906,-0.18,-0.07,0.07,-0.75
ENSG00000174444,0.07,-0.26,0.89,0.68
ENSG00000278229,0.15,0.55,-0.06,2.04
ENSG00000137876,-1.03,-1.61,-1.25,-0.48
ENSG00000174446,-0.85,-1.11,-2.07,-0.39
ENSG00000259642,NA,NA,NA,NA
ENSG00000067221,-0.63,-1.07,-2.8,-0.1
ENSG00000140416,-1.81,-1.2,-0.72,-1.08
ENSG00000140395,-1.73,-1.67,-2.04,-0.55
ENSG00000156232,1.22,0.37,0.46,0.64
ENSG00000166716,3.88,5.92,4.73,2.31
ENSG00000180357,3.44,3.38,2.41,2.98
ENSG00000174442,NA,NA,NA,NA
ENSG00000183044,-0.53,0.2,-0.03,-0.5
ENSG00000182831,0.66,0.47,0.98,-0.11
ENSG00000174109,-2.04,-1.88,-2.97,-2.73
ENSG00000005339,1.25,2.57,3.06,0.82
ENSG00000276726,-0.4,-0.13,-0.42,-0.9
ENSG00000103363,NA,NA,NA,NA
ENSG00000063854,-0.49,-1.19,-1.66,-0.15
ENSG00000103253,0.38,-0.05,0.01,0.53
ENSG00000184508,-1.12,-0.87,-2.44,-0.5
ENSG00000140443,0.62,1.19,2.23,0.16
ENSG00000130731,NA,NA,NA,NA
ENSG00000103152,-0.45,-0.85,-1.6,0.22
ENSG00000086504,-0.34,-1.51,-2.45,-0.06
ENSG00000074071,0.75,0.54,-0.23,0.75
ENSG00000140990,0.34,0.99,-0.3,0.95
ENSG00000065057,-0.15,-1.04,-1.32,0.06
ENSG00000161981,-0.41,-0.99,-2.23,0.1
ENSG00000167978,1.71,2.07,1.25,0.68
ENSG00000183751,-0.36,-2.82,-1.33,-0.34
ENSG00000184277,-1.22,-0.55,-2.38,-1.89
ENSG00000010539,-0.14,-0.02,-0.24,0.33
ENSG00000006194,0.06,-0.33,0.43,-0.12
ENSG00000167981,NA,NA,NA,NA
ENSG00000167186,0.32,-0.21,-0.09,0.01
ENSG00000179958,-1.58,-1.37,-2.53,-1.46
ENSG00000069345,-0.63,-0.42,-1.05,-2.14
ENSG00000156860,1.3,1.97,1.42,1.44
ENSG00000155393,-0.15,-1.05,0.02,-0.29
ENSG00000129636,-2.79,-1.88,-3.42,-2.85
ENSG00000047578,0.76,0.61,1.16,-0.18
ENSG00000224310,NA,NA,NA,NA
ENSG00000102897,-1.93,-2.06,-2.77,-1.37
ENSG00000004779,-0.54,-0.28,-1.07,-0.58
ENSG00000122257,0.4,0.77,1.28,0.77
ENSG00000134419,-1.06,0.15,0.37,-0.37
ENSG00000066654,0.39,-0.1,0.16,1.2
ENSG00000185947,NA,NA,NA,NA
ENSG00000166971,0.27,0.29,0.47,0.22
ENSG00000070761,NA,NA,NA,NA
ENSG00000103121,-0.82,0.08,-0.83,0.01
ENSG00000131143,-0.32,-0.43,-0.97,0.3
ENSG00000174177,-0.03,-0.93,-0.33,0.46
ENSG00000182810,-0.28,-1.38,-1.27,0
ENSG00000166595,-0.6,0.59,-0.88,-0.08
ENSG00000135723,0.8,0.4,1.09,0.3
ENSG00000140718,-0.17,-0.22,0.64,-0.9
ENSG00000034713,0.08,0.12,0.15,-0.34
ENSG00000131153,NA,NA,NA,NA
ENSG00000230989,-0.35,-0.03,0.04,-0.14
ENSG00000065427,-0.69,-0.26,-0.67,-0.82
ENSG00000159593,-1.91,-0.57,-1.15,-0.06
ENSG00000102908,0.03,0.12,0.32,-0.17
ENSG00000072736,1.34,0.87,3.9,0.53
ENSG00000167005,-2.23,-1.98,-2.33,-3.55
ENSG00000102898,-0.22,-0.73,-0.68,-0.46
ENSG00000102978,-0.91,-0.06,-1.02,-1.42
ENSG00000167526,-0.21,-1.13,-0.01,0.06
ENSG00000168701,-0.43,-2.45,-1.98,-0.03
ENSG00000167515,-1.97,-2.59,-4.47,-0.38
ENSG00000262943,-0.15,-0.15,-1.24,-0.72
ENSG00000108561,-0.3,0.01,-0.35,-0.13
ENSG00000141030,-0.17,-0.14,-1.07,-0.49
ENSG00000167699,-2.65,-2.01,-3.69,-1.98
ENSG00000132376,0.65,0.23,2.16,0.08
ENSG00000083457,-1.13,0.06,-0.3,0
ENSG00000175061,NA,NA,NA,NA
ENSG00000141503,0.9,1.46,2.61,-0.15
ENSG00000183011,-0.51,0.02,0.36,-0.14
ENSG00000141027,0.6,0.32,-0.03,1.4
ENSG00000091592,0.06,-1.1,-0.77,-0.41
ENSG00000142507,0.45,0.32,-0.09,0.92
ENSG00000132383,-0.52,-0.36,-0.01,-3.21
ENSG00000108528,-1.48,-2.54,-3.52,-2.39
ENSG00000170310,0.88,0.29,0.43,1.54
ENSG00000179029,-4.46,-4.34,-4.43,-6.42
ENSG00000171928,NA,NA,NA,NA
ENSG00000129235,-0.49,-0.92,-1.2,-0.75
ENSG00000170315,0.09,-0.16,0.27,-0.68
ENSG00000131473,-0.2,0.07,-0.1,-1.43
ENSG00000108666,-1.75,-0.37,-3.36,-1.79
ENSG00000109016,-1.49,-1.93,-1.93,-0.47
ENSG00000168259,-0.43,-2.52,-1.42,0.24
ENSG00000185158,-0.15,1.4,0.14,0.32
ENSG00000125691,0.21,0.4,-0.1,-0.04
ENSG00000128487,1.93,1.28,2.78,0.75
ENSG00000178691,-0.24,0.22,-0.04,0.02
ENSG00000244045,0.21,-0.26,-0.26,-0.14
ENSG00000214174,-1.64,-2.68,-2.07,-1.19
ENSG00000159199,NA,NA,NA,NA
ENSG00000126581,-0.72,-0.18,-0.08,-0.68
ENSG00000180329,-1.28,-2.1,-1.75,-0.27
ENSG00000004897,-0.17,-0.55,-0.44,-0.34
ENSG00000141367,-1.08,-0.73,-0.76,-1.97
ENSG00000183978,-1.33,-2.94,-2.69,-0.67
ENSG00000121058,-0.89,-1.53,-1.62,0.11
ENSG00000136485,2.12,0.28,3.6,1.11
ENSG00000067596,0.25,-0.12,0.45,1.61
ENSG00000198909,1.5,1.42,4.2,0.94
ENSG00000108788,-0.04,0.4,0.32,0.01
ENSG00000181610,-0.78,-1.34,-1.14,-1.69
ENSG00000198496,-0.22,0.02,-0.9,-0.72
ENSG00000239672,-0.27,-0.45,-2.62,-0.19
ENSG00000167085,0.02,-0.26,-0.36,-0.03
ENSG00000131469,-0.36,0.31,-0.07,0.01
ENSG00000121073,-1.07,-1.29,-1.88,-1.09
ENSG00000213246,0.02,0.2,-0.3,0.68
ENSG00000131475,-1.51,-2.72,-1.79,-2.43
ENSG00000175155,-0.28,-0.12,0.19,-1.86
ENSG00000141385,-0.04,-1.07,-0.8,-0.42
ENSG00000141552,-0.02,0.44,0.27,0.97
ENSG00000214087,-0.94,-2,-1.25,-1.49
ENSG00000167863,NA,NA,NA,NA
ENSG00000186665,-1.95,-1.57,-1.97,-0.64
ENSG00000169689,NA,NA,NA,NA
ENSG00000177337,0.16,-0.12,0.04,0.01
ENSG00000262001,NA,NA,NA,NA
ENSG00000141543,0.1,-0.16,0.62,-0.94
ENSG00000173818,-0.81,-1.46,-2.23,-0.01
ENSG00000108479,-0.28,-0.24,-0.1,0
ENSG00000169727,-0.26,-0.32,-0.47,0.5
ENSG00000168675,NA,NA,NA,NA
ENSG00000237854,NA,NA,NA,NA
ENSG00000167862,NA,NA,NA,NA
ENSG00000125445,-0.38,-1.35,-0.53,-1.74
ENSG00000182534,-0.77,0.13,-0.93,0.57
ENSG00000118680,-0.6,-0.23,-1.69,-0.24
ENSG00000204237,-0.07,-0.56,-1.43,0.59
ENSG00000185813,-0.23,-1.14,-1.23,-0.78
ENSG00000108946,-0.35,-0.24,0,-1.66
ENSG00000128789,-1.07,-0.6,-0.82,-0.95
ENSG00000172809,0.81,1.99,0.07,0.77
ENSG00000188612,-0.2,1.26,0,0.23
ENSG00000101558,0.49,1.37,1.1,-0.41
ENSG00000152234,NA,NA,NA,NA
ENSG00000282266,0.48,0.31,0.11,0.99
ENSG00000170558,0.13,0.11,0.78,-0.22
ENSG00000166347,-0.08,0.03,0.29,-0.45
ENSG00000134759,-3.51,-3.27,-3.17,-4.35
ENSG00000134049,-2.28,0.05,-2.47,-0.56
ENSG00000167306,NA,NA,NA,NA
ENSG00000134440,-0.78,-1.22,-1.69,-0.95
ENSG00000141447,0.02,0.06,-0.14,-0.45
ENSG00000078142,-0.46,-0.61,-0.42,0.07
ENSG00000091164,-0.26,0.68,-0.6,-0.28
ENSG00000142303,0.54,0.26,0.51,1.04
ENSG00000125652,-1.16,-3.18,-1.38,-0.53
ENSG00000198356,-0.25,0.22,-0.8,-0.39
ENSG00000104979,0.18,-0.04,-0.69,0.67
ENSG00000130813,-0.13,0.32,-1.82,0.64
ENSG00000174917,-1.73,-1.76,-4.46,-0.57
ENSG00000183397,NA,NA,NA,NA
ENSG00000105401,-0.14,-0.36,-2.18,-1.32
ENSG00000176533,1,1.14,1.4,0.79
ENSG00000130332,-0.74,-1.11,-0.73,-0.19
ENSG00000183617,0.04,-0.76,-1,0.76
ENSG00000074842,NA,NA,NA,NA
ENSG00000174886,-0.23,-0.69,-1.25,-0.23
ENSG00000115286,0.31,-0.06,-0.14,0.04
ENSG00000229833,-0.36,-0.06,-1.29,0.31
ENSG00000104886,-0.83,-2.39,-1.36,-0.58
ENSG00000130175,0.69,0.56,1.03,0.2
ENSG00000130255,-0.04,0.55,-0.27,1.37
ENSG00000172009,0,-0.28,-0.23,0.51
ENSG00000105518,-0.9,-2.73,-1.13,-1.13
ENSG00000198258,-1.86,-0.18,-2.33,-0.39
ENSG00000127540,0.09,0.14,0.06,0.19
ENSG00000105583,-0.41,0,-0.65,0.17
ENSG00000171295,0.79,-0.04,0.6,1.08
ENSG00000186300,NA,NA,NA,NA
ENSG00000130544,NA,NA,NA,NA
ENSG00000198551,-0.85,-0.87,-0.65,-0.47
ENSG00000173875,-0.34,-1.22,-0.56,-0.02
ENSG00000254901,NA,NA,NA,NA
ENSG00000126247,0.03,0.02,-0.11,0.27
ENSG00000105669,-0.23,-0.57,-0.44,-0.95
ENSG00000126267,-0.89,-0.08,-2.39,0.03
ENSG00000105671,-0.64,-3.57,-1.72,-0.22
ENSG00000105058,0.16,-0.07,-0.22,0.09
ENSG00000105135,1.02,0.37,1.45,0.44
ENSG00000262860,0.44,0.87,3.29,0.01
ENSG00000130520,-1.07,-2.33,-3.36,-0.51
ENSG00000099795,0.18,0.03,-0.24,0.64
ENSG00000126249,-0.22,-1.43,-1.3,0.14
ENSG00000105258,0.01,0.26,0.05,0.53
ENSG00000105171,-1.77,-1.14,-0.55,-3.36
ENSG00000205155,-0.09,0.27,-0.89,0.25
ENSG00000167461,1.15,1.63,0.73,0.29
ENSG00000105640,-1,-0.22,-0.09,-0.36
ENSG00000205138,-2.03,-3.04,-2.75,-1.58
ENSG00000105254,0.1,-0.32,-0.21,-0.08
ENSG00000105677,0.23,0.07,0.19,0.5
ENSG00000221983,-0.95,-1.32,-0.52,-0.39
ENSG00000169021,-0.59,-0.17,-0.41,-1.01
ENSG00000233527,NA,NA,NA,NA
ENSG00000197863,0.19,0.11,0.07,-1.08
ENSG00000090013,-0.59,-0.16,-0.43,-0.57
ENSG00000090932,-0.3,-0.44,-1.46,0.35
ENSG00000104936,2.32,0.67,2.54,2.5
ENSG00000269858,1,0.73,0.59,0.66
ENSG00000012061,0.11,-0.47,-0.2,-0.02
ENSG00000077348,-0.69,-2.54,-2.67,-0.09
ENSG00000104863,-1.44,-1.74,-3.69,-0.17
ENSG00000104872,-0.34,-1.05,-1.06,-0.61
ENSG00000099341,-1.31,-0.48,-2.62,-1.8
ENSG00000063177,-0.11,-0.4,-0.11,0.34
ENSG00000183207,0.01,-1.54,-0.67,0.16
ENSG00000178980,NA,NA,NA,NA
ENSG00000125743,-0.25,-0.45,-0.43,0.67
ENSG00000167642,-0.76,-1.52,-2.7,-0.25
ENSG00000167645,0.04,-0.14,-0.24,0.07
ENSG00000120784,0.29,-0.13,1.91,0.51
ENSG00000159882,NA,NA,NA,NA
ENSG00000196437,NA,NA,NA,NA
ENSG00000124444,0.14,-0.73,0.06,-0.76
ENSG00000185869,NA,NA,NA,NA
ENSG00000130724,-0.74,-0.45,-0.83,-0.19
ENSG00000101266,-0.89,-0.45,-0.59,-1.93
ENSG00000142396,-0.63,0.01,-0.23,-0.17
ENSG00000105379,-0.52,-1.73,-0.21,-0.41
ENSG00000142530,-2.76,-2.9,-5.36,-1.07
ENSG00000063241,-0.52,-0.66,-1.21,-0.48
ENSG00000276458,0.04,-0.92,-0.21,-0.14
ENSG00000276061,0.02,0.11,-0.46,0.38
ENSG00000142546,0.5,-0.13,0.26,0.11
ENSG00000126457,0.04,0.44,-0.47,0.09
ENSG00000083845,-0.89,0.05,0.1,-0.5
ENSG00000083807,0.06,0.09,-0.03,1.73
ENSG00000177732,3.38,2.08,2.16,2.78
ENSG00000104946,1.43,1.67,0.69,1.12
ENSG00000125875,1.91,1.12,3.68,2.04
ENSG00000256060,NA,NA,NA,NA
ENSG00000105053,-0.94,-0.44,-0.55,-1.7
ENSG00000171649,NA,NA,NA,NA
ENSG00000181894,-0.21,-0.16,-0.16,-0.57
ENSG00000105136,-0.28,-0.12,-0.74,0.55
ENSG00000178935,NA,NA,NA,NA
ENSG00000083828,NA,NA,NA,NA
ENSG00000083814,0.39,-0.47,0.32,-0.04
ENSG00000101444,-0.22,-0.74,-0.35,-0.59
ENSG00000101474,-0.21,-1.63,-1.61,-0.81
ENSG00000171456,1.2,2.51,1.41,0.28
ENSG00000171552,2.31,2.59,3.05,2.01
ENSG00000078699,-1.23,-0.35,-1.21,-3.61
ENSG00000242372,0,-0.36,-0.63,0.63
