Gene_1,Gene_2,Combined_Score
ENSG00000121892,ENSG00000049541,0.553
ENSG00000121892,ENSG00000088205,0.78
ENSG00000105229,ENSG00000153201,0.713
ENSG00000105229,ENSG00000172977,0.729
ENSG00000100941,ENSG00000100109,0.411
ENSG00000100941,ENSG00000164985,0.61
ENSG00000100941,ENSG00000133226,0.86
ENSG00000100941,ENSG00000119707,0.917
ENSG00000100941,ENSG00000205937,0.995
ENSG00000100941,ENSG00000150459,0.998
ENSG00000147669,ENSG00000125743,0.727
ENSG00000147669,ENSG00000126953,0.446
ENSG00000147669,ENSG00000165119,0.6
ENSG00000147669,ENSG00000007372,0.602
ENSG00000117360,ENSG00000119707,0.906
ENSG00000117360,ENSG00000004534,0.429
ENSG00000117360,ENSG00000177807,0.436
ENSG00000117360,ENSG00000133226,0.621
ENSG00000117360,ENSG00000100109,0.857
ENSG00000117360,ENSG00000125743,0.999
ENSG00000117360,ENSG00000144028,0.999
ENSG00000164985,ENSG00000100941,0.61
ENSG00000164985,ENSG00000099956,0.628
ENSG00000164985,ENSG00000064419,0.701
ENSG00000164985,ENSG00000153201,0.549
ENSG00000164985,ENSG00000070756,0.631
ENSG00000164985,ENSG00000172977,0.411
ENSG00000100902,ENSG00000049541,0.4
ENSG00000100902,ENSG00000120948,0.458
ENSG00000100902,ENSG00000125743,0.469
ENSG00000100902,ENSG00000170185,0.475
ENSG00000100902,ENSG00000175390,0.479
ENSG00000100902,ENSG00000088205,0.619
ENSG00000100902,ENSG00000108424,0.628
ENSG00000100902,ENSG00000106263,0.629
ENSG00000100902,ENSG00000120705,0.654
ENSG00000100902,ENSG00000167658,0.687
ENSG00000100902,ENSG00000084623,0.755
ENSG00000100902,ENSG00000165280,0.902
ENSG00000100902,ENSG00000163636,0.999
ENSG00000163636,ENSG00000100902,0.999
ENSG00000163636,ENSG00000165280,0.953
ENSG00000163636,ENSG00000265354,0.441
ENSG00000163636,ENSG00000175390,0.746
ENSG00000103769,ENSG00000100934,0.409
ENSG00000103769,ENSG00000184076,0.625
ENSG00000153201,ENSG00000105229,0.713
ENSG00000153201,ENSG00000064419,0.82
ENSG00000153201,ENSG00000144028,0.483
ENSG00000153201,ENSG00000164985,0.549
ENSG00000153201,ENSG00000157349,0.579
ENSG00000153201,ENSG00000205937,0.631
ENSG00000153201,ENSG00000133226,0.78
ENSG00000153201,ENSG00000125743,0.924
ENSG00000153201,ENSG00000108424,0.996
ENSG00000119707,ENSG00000100941,0.917
ENSG00000119707,ENSG00000004534,0.407
ENSG00000119707,ENSG00000065526,0.424
ENSG00000119707,ENSG00000089737,0.429
ENSG00000119707,ENSG00000165119,0.452
ENSG00000119707,ENSG00000088205,0.458
ENSG00000119707,ENSG00000107581,0.482
ENSG00000119707,ENSG00000167658,0.492
ENSG00000119707,ENSG00000100109,0.531
ENSG00000119707,ENSG00000183495,0.557
ENSG00000119707,ENSG00000144028,0.849
ENSG00000119707,ENSG00000117360,0.906
ENSG00000119707,ENSG00000125743,0.958
ENSG00000119707,ENSG00000133226,0.983
ENSG00000106344,ENSG00000088205,0.956
ENSG00000106344,ENSG00000089737,0.974
ENSG00000106344,ENSG00000087269,0.992
ENSG00000004534,ENSG00000067248,0.485
ENSG00000004534,ENSG00000119707,0.407
ENSG00000004534,ENSG00000117360,0.429
ENSG00000004534,ENSG00000087269,0.514
ENSG00000004534,ENSG00000133226,0.679
ENSG00000135437,ENSG00000100156,0.4
ENSG00000049541,ENSG00000100902,0.4
ENSG00000049541,ENSG00000121892,0.553
ENSG00000049541,ENSG00000172977,0.635
ENSG00000049541,ENSG00000165280,0.72
ENSG00000049541,ENSG00000105486,0.879
ENSG00000116741,ENSG00000181072,0.442
ENSG00000182732,ENSG00000139053,0.431
ENSG00000182732,ENSG00000144057,0.464
ENSG00000205937,ENSG00000100941,0.995
ENSG00000205937,ENSG00000014164,0.694
ENSG00000205937,ENSG00000153201,0.631
ENSG00000205937,ENSG00000070756,0.419
ENSG00000205937,ENSG00000133226,0.996
ENSG00000205937,ENSG00000165119,0.616
ENSG00000205937,ENSG00000010244,0.531
ENSG00000205937,ENSG00000150459,0.999
ENSG00000178718,ENSG00000141551,0.818
ENSG00000150459,ENSG00000100941,0.998
ENSG00000150459,ENSG00000120948,0.627
ENSG00000150459,ENSG00000099956,0.738
ENSG00000150459,ENSG00000133226,0.427
ENSG00000150459,ENSG00000064961,0.608
ENSG00000150459,ENSG00000125743,0.698
ENSG00000150459,ENSG00000165119,0.674
ENSG00000150459,ENSG00000127511,0.979
ENSG00000150459,ENSG00000205937,0.999
ENSG00000100934,ENSG00000103769,0.409
