Gene1,Gene2,Score
ENSG00000111642,ENSG00000196591,0.999878
ENSG00000004487,ENSG00000196591,0.999647
ENSG00000131462,ENSG00000126216,0.999131
ENSG00000148798,ENSG00000115415,0.999015
ENSG00000189091,ENSG00000109606,0.999957
ENSG00000109606,ENSG00000143368,0.999099
ENSG00000109606,ENSG00000087365,0.999538
ENSG00000115524,ENSG00000109606,0.99943
ENSG00000109606,ENSG00000099995,0.999005
ENSG00000136146,ENSG00000125686,0.999896
ENSG00000136146,ENSG00000143569,0.999327
ENSG00000124641,ENSG00000136146,0.999207
ENSG00000136146,ENSG00000063322,0.99934
ENSG00000136146,ENSG00000108510,0.999811
ENSG00000136146,ENSG00000156603,0.999049
ENSG00000136146,ENSG00000132964,0.999273
ENSG00000100393,ENSG00000100297,0.999375
ENSG00000100393,ENSG00000073111,0.999636
ENSG00000100393,ENSG00000112118,0.99969
ENSG00000096401,ENSG00000183431,0.999641
ENSG00000182004,ENSG00000096401,0.999503
ENSG00000096401,ENSG00000189091,0.999522
ENSG00000108654,ENSG00000100603,0.999627
ENSG00000100603,ENSG00000115524,0.999837
ENSG00000136450,ENSG00000100603,0.999402
ENSG00000104852,ENSG00000100603,0.999744
ENSG00000165119,ENSG00000100603,0.999819
ENSG00000100028,ENSG00000100603,0.999678
ENSG00000143368,ENSG00000100603,0.99965
ENSG00000174231,ENSG00000096401,0.99987
ENSG00000147274,ENSG00000096401,0.999053
ENSG00000096401,ENSG00000131876,0.999697
ENSG00000104852,ENSG00000096401,0.999308
ENSG00000096401,ENSG00000144028,0.999263
ENSG00000096401,ENSG00000100603,0.999531
ENSG00000096401,ENSG00000153187,0.999012
ENSG00000165119,ENSG00000096401,0.999094
ENSG00000063244,ENSG00000096401,0.999306
ENSG00000096401,ENSG00000141543,0.999618
ENSG00000096401,ENSG00000099995,0.999207
ENSG00000096401,ENSG00000115524,0.999787
ENSG00000096401,ENSG00000136450,0.999242
ENSG00000096401,ENSG00000108883,0.999913
ENSG00000108654,ENSG00000096401,0.999522
ENSG00000100603,ENSG00000174231,0.999842
ENSG00000100603,ENSG00000141543,0.999275
ENSG00000100603,ENSG00000153187,0.999429
ENSG00000100603,ENSG00000092199,0.999844
ENSG00000170144,ENSG00000100603,0.999693
ENSG00000144028,ENSG00000100603,0.999848
ENSG00000196591,ENSG00000100603,0.999133
ENSG00000100603,ENSG00000189091,0.999875
ENSG00000100603,ENSG00000147274,0.999828
ENSG00000100603,ENSG00000099995,0.999889
ENSG00000100603,ENSG00000109606,0.999701
ENSG00000100603,ENSG00000135486,0.99981
ENSG00000100603,ENSG00000108883,0.999851
