Node_1,Node_2,Score
ENSG00000158828,ENSG00000136634,0.005319149
ENSG00000158828,ENSG00000169083,0.005319149
ENSG00000158828,ENSG00000284204,0.005319149
ENSG00000158828,ENSG00000168421,0.005319149
ENSG00000158828,ENSG00000004478,0.005319149
ENSG00000158828,ENSG00000107485,0.005319149
ENSG00000158828,ENSG00000103313,0.005319149
ENSG00000158828,ENSG00000108064,0.005319149
ENSG00000158828,ENSG00000173542,0.005319149
ENSG00000158828,ENSG00000119772,0.005319149
ENSG00000158828,ENSG00000104814,0.005319149
ENSG00000158828,ENSG00000101017,0.005319149
ENSG00000158828,ENSG00000121594,0.005319149
ENSG00000158828,ENSG00000150782,0.005319149
ENSG00000158828,ENSG00000115008,0.005319149
ENSG00000158828,ENSG00000131711,0.005319149
ENSG00000158828,ENSG00000131759,0.005319149
ENSG00000158828,ENSG00000141542,0.005319149
ENSG00000158828,ENSG00000130957,0.005319149
ENSG00000158828,ENSG00000067225,0.005319149
ENSG00000158828,ENSG00000143627,0.005319149
ENSG00000158828,ENSG00000171855,0.005319149
ENSG00000158828,ENSG00000132386,0.005319149
ENSG00000158828,ENSG00000151247,0.005319149
ENSG00000158828,ENSG00000167701,0.005319149
ENSG00000158828,ENSG00000166123,0.005319149
ENSG00000158828,ENSG00000185386,0.005319149
ENSG00000158828,ENSG00000124762,0.005319149
ENSG00000158828,ENSG00000112062,0.005319149
ENSG00000158828,ENSG00000188130,0.005319149
ENSG00000158828,ENSG00000156711,0.005319149
ENSG00000158828,ENSG00000181019,0.005319149
ENSG00000158828,ENSG00000189043,0.005319149
ENSG00000158828,ENSG00000120948,0.005319149
ENSG00000158828,ENSG00000165238,0.005319149
ENSG00000158828,ENSG00000170677,0.005319149
ENSG00000158828,ENSG00000170248,0.005319149
ENSG00000158828,ENSG00000197386,0.005319149
ENSG00000158828,ENSG00000144381,0.005319149
ENSG00000158828,ENSG00000157184,0.005319149
ENSG00000158828,ENSG00000125730,0.005319149
ENSG00000158828,ENSG00000171503,0.005319149
ENSG00000158828,ENSG00000168610,0.005319149
ENSG00000158828,ENSG00000132024,0.005319149
ENSG00000158828,ENSG00000130159,0.005319149
ENSG00000158828,ENSG00000204580,0.005319149
ENSG00000158828,ENSG00000164323,0.005319149
ENSG00000158828,ENSG00000010810,0.005319149
ENSG00000158828,ENSG00000130766,0.005319149
ENSG00000158828,ENSG00000207614,0.005319149
ENSG00000158828,ENSG00000105401,0.005319149
ENSG00000158828,ENSG00000123374,0.005319149
ENSG00000158828,ENSG00000145386,0.005319149
ENSG00000158828,ENSG00000145782,0.005319149
ENSG00000158828,ENSG00000119917,0.005319149
ENSG00000158828,ENSG00000134321,0.005319149
ENSG00000158828,ENSG00000101255,0.005319149
ENSG00000158828,ENSG00000212128,0.005319149
ENSG00000158828,ENSG00000185896,0.005319149
ENSG00000158828,ENSG00000126883,0.005319149
ENSG00000158828,ENSG00000172071,0.005319149
ENSG00000158828,ENSG00000178796,0.005319149
ENSG00000158828,ENSG00000118520,0.005319149
ENSG00000158828,ENSG00000178741,0.005319149
ENSG00000158828,ENSG00000129465,0.005319149
ENSG00000158828,ENSG00000142856,0.005319149
ENSG00000158828,ENSG00000168404,0.005319149
ENSG00000158828,ENSG00000284544,0.005319149
ENSG00000158828,ENSG00000199090,0.005319149
ENSG00000158828,ENSG00000078142,0.005319149
ENSG00000158828,ENSG00000006327,0.005319149
ENSG00000158828,ENSG00000174775,0.005319149
ENSG00000158828,ENSG00000104980,0.005319149
ENSG00000158828,ENSG00000213463,0.005319149
ENSG00000158828,ENSG00000263528,0.005319149
ENSG00000158828,ENSG00000078018,0.005319149
ENSG00000158828,ENSG00000209042,0.005319149
ENSG00000158828,ENSG00000119048,0.005319149
ENSG00000158828,ENSG00000185651,0.005319149
ENSG00000158828,ENSG00000202363,0.005319149
ENSG00000158828,ENSG00000124486,0.005319149
ENSG00000158828,ENSG00000244687,0.005319149
ENSG00000158828,ENSG00000146648,0.005319149
ENSG00000158828,ENSG00000177628,0.005319149
ENSG00000158828,ENSG00000002746,0.005319149
ENSG00000158828,ENSG00000007944,0.005319149
ENSG00000158828,ENSG00000184216,0.005319149
ENSG00000158828,ENSG00000135341,0.005319149
ENSG00000158828,ENSG00000121022,0.005319149
ENSG00000158828,ENSG00000078902,0.005319149
ENSG00000158828,ENSG00000115297,0.005319149
ENSG00000158828,ENSG00000108576,0.005319149
ENSG00000158828,ENSG00000117394,0.005319149
ENSG00000158828,ENSG00000138629,0.005319149
ENSG00000158828,ENSG00000140983,0.005319149
ENSG00000158828,ENSG00000138095,0.005319149
ENSG00000158828,ENSG00000142871,0.005319149
ENSG00000158828,ENSG00000028137,0.005319149
