ID,custom_color,
ENSG00000148090,orange,
ENSG00000163541,orange,
ENSG00000178127,orange,
ENSG00000119723,orange,
ENSG00000055950,orange,
ENSG00000106077,orange,
ENSG00000154723,orange,
ENSG00000166136,orange,
ENSG00000255339,orange,
ENSG00000196365,orange,
ENSG00000091140,orange,
ENSG00000156709,orange,
ENSG00000134463,orange,
ENSG00000155008,orange,
ENSG00000159111,orange,
ENSG00000148187,orange,
ENSG00000110717,orange,
ENSG00000117054,orange,
ENSG00000132305,orange,
ENSG00000100575,orange,
ENSG00000151729,orange,
ENSG00000100347,orange,
ENSG00000158864,orange,
ENSG00000167792,orange,
ENSG00000100412,orange,
ENSG00000156502,orange,
ENSG00000066926,orange,
ENSG00000085760,orange,
ENSG00000167085,orange,
ENSG00000198130,orange,
ENSG00000122140,orange,
ENSG00000113013,orange,
ENSG00000148290,orange,
ENSG00000165672,orange,
ENSG00000165678,orange,
ENSG00000151806,orange,
ENSG00000099800,orange,
ENSG00000214113,orange,
ENSG00000166902,orange,
ENSG00000185608,orange,
ENSG00000067829,orange,
ENSG00000143252,orange,
ENSG00000136521,orange,
ENSG00000167985,orange,
ENSG00000256591,orange,
ENSG00000135469,orange,
ENSG00000100348,orange,
ENSG00000096080,orange,
ENSG00000164919,orange,
ENSG00000147684,orange,
ENSG00000109919,orange,
ENSG00000184983,orange,
ENSG00000178537,orange,
ENSG00000169288,orange,
ENSG00000104980,orange,
ENSG00000138495,orange,
ENSG00000112096,orange,
ENSG00000126267,orange,
ENSG00000213585,orange,
ENSG00000125656,orange,
ENSG00000138796,orange,
ENSG00000115361,orange,
ENSG00000075239,orange,
ENSG00000156928,orange,
ENSG00000166855,orange,
ENSG00000164258,orange,
ENSG00000105364,orange,
ENSG00000108561,orange,
ENSG00000107959,orange,
ENSG00000101019,orange,
ENSG00000162910,orange,
ENSG00000278619,orange,
ENSG00000116353,orange,
ENSG00000135900,orange,
ENSG00000119471,orange,
ENSG00000120333,orange,
ENSG00000197150,orange,
ENSG00000171953,orange,
ENSG00000139180,orange,
ENSG00000168275,orange,
ENSG00000099821,orange,
ENSG00000136003,orange,
ENSG00000130347,orange,
ENSG00000197444,orange,
ENSG00000103507,orange,
ENSG00000164347,orange,
ENSG00000123545,orange,
ENSG00000125434,orange,
ENSG00000108528,orange,
ENSG00000150779,orange,
ENSG00000100294,orange,
ENSG00000181873,orange,
ENSG00000215021,orange,
ENSG00000132676,orange,
ENSG00000103121,orange,
ENSG00000205138,orange,
ENSG00000239789,orange,
ENSG00000147576,orange,
ENSG00000285791,orange,
ENSG00000244005,orange,
ENSG00000101247,orange,
ENSG00000158042,orange,
ENSG00000136463,orange,
ENSG00000171109,orange,
ENSG00000196850,orange,
ENSG00000174547,orange,
ENSG00000131143,orange,
ENSG00000145494,orange,
ENSG00000172172,orange,
ENSG00000083720,orange,
ENSG00000135940,orange,
ENSG00000005882,orange,
ENSG00000023330,orange,
ENSG00000243147,orange,
ENSG00000135297,orange,
ENSG00000121897,orange,
ENSG00000128609,orange,
ENSG00000165264,orange,
ENSG00000128654,orange,
ENSG00000172340,orange,
ENSG00000137714,orange,
ENSG00000100075,orange,
ENSG00000147586,orange,
ENSG00000105197,orange,
ENSG00000165637,orange,
ENSG00000181035,orange,
ENSG00000196683,orange,
ENSG00000104823,orange,
ENSG00000074582,orange,
ENSG00000132591,orange,
ENSG00000187118,orange,
ENSG00000086504,orange,
ENSG00000123297,orange,
ENSG00000165060,orange,
ENSG00000285130,orange,
ENSG00000169599,orange,
ENSG00000139131,orange,
ENSG00000197345,orange,
ENSG00000159423,orange,
ENSG00000158882,orange,
ENSG00000137806,orange,
ENSG00000140990,orange,
ENSG00000196177,orange,
ENSG00000135972,orange,
ENSG00000072778,orange,
ENSG00000167113,orange,
ENSG00000137547,orange,
ENSG00000131495,orange,
ENSG00000143314,orange,
ENSG00000144381,orange,
ENSG00000168653,orange,
ENSG00000147853,orange,
ENSG00000172115,orange,
ENSG00000027001,orange,
ENSG00000186687,orange,
ENSG00000095321,orange,
ENSG00000114054,orange,
ENSG00000125445,orange,
ENSG00000114686,orange,
ENSG00000100033,orange,
ENSG00000175198,orange,
ENSG00000078070,orange,
ENSG00000128626,orange,
ENSG00000162129,orange,
ENSG00000152256,orange,
ENSG00000149792,orange,
ENSG00000112695,orange,
ENSG00000171202,orange,
ENSG00000121310,orange,
ENSG00000004961,orange,
ENSG00000106049,orange,
ENSG00000115364,orange,
ENSG00000171421,orange,
ENSG00000174032,orange,
ENSG00000161267,orange,
ENSG00000145982,orange,
ENSG00000131269,orange,
ENSG00000173171,orange,
ENSG00000267855,orange,
ENSG00000134375,orange,
ENSG00000143149,orange,
ENSG00000163319,orange,
ENSG00000247626,orange,
ENSG00000119711,orange,
ENSG00000161513,orange,
ENSG00000257218,orange,
ENSG00000126602,orange,
ENSG00000151498,orange,
ENSG00000111275,orange,
ENSG00000108179,orange,
ENSG00000177370,orange,
ENSG00000128928,orange,
ENSG00000087299,orange,
ENSG00000105755,orange,
ENSG00000242485,orange,
ENSG00000005022,orange,
ENSG00000115840,orange,
ENSG00000266472,orange,
ENSG00000100216,orange,
ENSG00000167315,orange,
ENSG00000185414,orange,
ENSG00000103423,orange,
ENSG00000090266,orange,
ENSG00000074071,orange,
ENSG00000105379,orange,
ENSG00000127184,orange,
ENSG00000106554,orange,
ENSG00000115520,orange,
ENSG00000176715,orange,
ENSG00000004142,orange,
ENSG00000183048,orange,
ENSG00000004864,orange,
ENSG00000067992,orange,
ENSG00000151376,orange,
ENSG00000082515,orange,
ENSG00000182054,orange,
ENSG00000105607,orange,
ENSG00000136522,orange,
ENSG00000138777,orange,
ENSG00000143436,orange,
ENSG00000250479,orange,
ENSG00000116874,orange,
ENSG00000125454,orange,
ENSG00000145439,orange,
ENSG00000183172,orange,
ENSG00000063854,orange,
ENSG00000161281,orange,
ENSG00000148824,orange,
ENSG00000178449,orange,
ENSG00000184752,orange,
ENSG00000182180,orange,
ENSG00000120832,orange,
ENSG00000115159,orange,
ENSG00000130414,orange,
ENSG00000151366,orange,
ENSG00000119705,orange,
ENSG00000198899,orange,
ENSG00000198712,orange,
ENSG00000075336,orange,
ENSG00000119421,orange,
ENSG00000115419,orange,
ENSG00000147123,orange,
ENSG00000181192,orange,
ENSG00000115042,orange,
ENSG00000204228,orange,
ENSG00000137133,orange,
ENSG00000144029,orange,
ENSG00000204564,orange,
ENSG00000176422,orange,
ENSG00000175536,orange,
ENSG00000104325,orange,
ENSG00000125901,orange,
ENSG00000102743,orange,
ENSG00000160194,orange,
ENSG00000137274,orange,
ENSG00000165283,orange,
ENSG00000148450,orange,
ENSG00000103642,orange,
ENSG00000130204,orange,
ENSG00000148339,orange,
ENSG00000173137,orange,
ENSG00000111271,orange,
ENSG00000102763,orange,
ENSG00000137500,orange,
ENSG00000007923,orange,
ENSG00000125652,orange,
ENSG00000178445,orange,
ENSG00000238205,orange,
ENSG00000159445,orange,
ENSG00000106028,orange,
ENSG00000108826,orange,
ENSG00000100209,orange,
ENSG00000048544,orange,
ENSG00000162433,orange,
ENSG00000197785,orange,
ENSG00000116221,orange,
ENSG00000148334,orange,
ENSG00000184470,orange,
ENSG00000183549,orange,
ENSG00000122873,orange,
ENSG00000182154,orange,
ENSG00000243927,orange,
ENSG00000214026,orange,
ENSG00000133028,orange,
ENSG00000100116,orange,
ENSG00000120254,orange,
ENSG00000198721,orange,
ENSG00000156467,orange,
ENSG00000160124,orange,
ENSG00000131844,orange,
ENSG00000124370,orange,
ENSG00000124615,orange,
ENSG00000146085,orange,
ENSG00000122696,orange,
ENSG00000197912,orange,
ENSG00000138138,orange,
ENSG00000154814,orange,
ENSG00000101181,orange,
ENSG00000117593,orange,
ENSG00000111639,orange,
ENSG00000173599,orange,
ENSG00000125246,orange,
ENSG00000135241,orange,
ENSG00000103150,orange,
ENSG00000145337,orange,
ENSG00000126768,orange,
ENSG00000106591,orange,
ENSG00000144741,orange,
ENSG00000250799,orange,
ENSG00000114021,orange,
ENSG00000082212,orange,
ENSG00000178952,orange,
ENSG00000156885,orange,
ENSG00000014824,orange,
ENSG00000144559,orange,
ENSG00000265354,orange,
ENSG00000155906,orange,
ENSG00000116688,orange,
ENSG00000213221,orange,
ENSG00000163528,orange,
ENSG00000004779,orange,
ENSG00000166743,orange,
ENSG00000183513,orange,
ENSG00000173085,orange,
ENSG00000164494,orange,
ENSG00000113790,orange,
ENSG00000213619,orange,
ENSG00000135776,orange,
ENSG00000131730,orange,
ENSG00000131368,orange,
ENSG00000177646,orange,
ENSG00000133983,orange,
ENSG00000177150,orange,
ENSG00000112304,orange,
ENSG00000110090,orange,
ENSG00000198814,orange,
ENSG00000157326,orange,
ENSG00000186314,orange,
ENSG00000134905,orange,
ENSG00000099795,orange,
ENSG00000023572,orange,
ENSG00000112996,orange,
ENSG00000284194,orange,
ENSG00000072506,orange,
ENSG00000137513,orange,
ENSG00000156990,orange,
