Gene1,Gene2,Score
ENSG00000108953,ENSG00000108840,0.988761
ENSG00000161800,ENSG00000137807,0.993002
ENSG00000117748,ENSG00000132383,0.999403
ENSG00000142319,ENSG00000145335,0.969311
ENSG00000145675,ENSG00000100906,0.990828
ENSG00000113580,ENSG00000169083,0.996892
ENSG00000134982,ENSG00000136002,0.965018
ENSG00000096717,ENSG00000100393,0.999151
ENSG00000067606,ENSG00000102981,0.992528
ENSG00000155760,ENSG00000124145,0.954966
ENSG00000123374,ENSG00000111276,0.986408
ENSG00000103769,ENSG00000090565,0.989822
ENSG00000105229,ENSG00000115415,0.991251
ENSG00000130779,ENSG00000007168,0.985101
ENSG00000089159,ENSG00000169398,0.998393
ENSG00000136997,ENSG00000166949,0.992689
ENSG00000118689,ENSG00000096717,0.989719
ENSG00000147010,ENSG00000107295,0.972492
ENSG00000103653,ENSG00000145715,0.987188
ENSG00000164867,ENSG00000096384,0.98754
ENSG00000171720,ENSG00000196498,0.98615
ENSG00000177606,ENSG00000075426,0.990305
ENSG00000166913,ENSG00000068024,0.99875
ENSG00000166851,ENSG00000151725,0.996236
ENSG00000010810,ENSG00000085733,0.986242
ENSG00000100351,ENSG00000160691,0.973327
ENSG00000105701,ENSG00000171791,0.996554
ENSG00000115966,ENSG00000171223,0.969297
ENSG00000149311,ENSG00000269335,0.980935
ENSG00000213639,ENSG00000058272,0.997986
ENSG00000132604,ENSG00000149311,0.997905
ENSG00000127616,ENSG00000099956,0.999987
ENSG00000131196,ENSG00000102882,0.975175
ENSG00000178568,ENSG00000186153,0.962
ENSG00000012048,ENSG00000087586,0.970722
ENSG00000105976,ENSG00000168036,0.98042
ENSG00000080503,ENSG00000073584,0.999871
ENSG00000100393,ENSG00000073282,0.983134
ENSG00000132155,ENSG00000108953,0.995753
ENSG00000115966,ENSG00000100393,0.991732
ENSG00000115884,ENSG00000137575,0.958355
ENSG00000080824,ENSG00000100644,0.97851
ENSG00000171720,ENSG00000100811,0.984232
ENSG00000096696,ENSG00000173801,0.996297
ENSG00000137834,ENSG00000170365,0.961294
ENSG00000179295,ENSG00000115415,0.966712
ENSG00000050748,ENSG00000072736,0.97502
ENSG00000185591,ENSG00000141510,0.992717
ENSG00000109332,ENSG00000110330,0.991025
ENSG00000140575,ENSG00000007168,0.994382
ENSG00000147443,ENSG00000158092,0.991534
ENSG00000102882,ENSG00000163932,0.991184
ENSG00000115966,ENSG00000118260,0.991543
ENSG00000145604,ENSG00000111276,0.973127
ENSG00000171223,ENSG00000177606,0.99623
ENSG00000078900,ENSG00000204628,0.967818
ENSG00000115306,ENSG00000166949,0.96945
ENSG00000177606,ENSG00000162772,0.99838
ENSG00000087586,ENSG00000149269,0.987843
ENSG00000184634,ENSG00000168036,0.97541
ENSG00000183207,ENSG00000175792,0.981247
ENSG00000166579,ENSG00000108953,0.988416
ENSG00000183337,ENSG00000113916,0.984593
ENSG00000109819,ENSG00000096717,0.996731
ENSG00000100644,ENSG00000141510,0.996047
ENSG00000198909,ENSG00000137275,0.998804
ENSG00000169679,ENSG00000154473,0.999365
ENSG00000154473,ENSG00000078900,0.958284
ENSG00000147443,ENSG00000167193,0.990058
ENSG00000124762,ENSG00000123374,0.999554
ENSG00000196498,ENSG00000091831,0.961318
ENSG00000197299,ENSG00000132604,0.991987
ENSG00000171552,ENSG00000002330,0.989073
ENSG00000182957,ENSG00000134982,0.964485
ENSG00000112062,ENSG00000131196,0.993212
ENSG00000103275,ENSG00000068024,0.997987
ENSG00000124762,ENSG00000105221,0.978914
ENSG00000163347,ENSG00000158769,0.999189
ENSG00000175104,ENSG00000134243,0.997112
ENSG00000142875,ENSG00000078900,0.952358
ENSG00000196961,ENSG00000161203,0.999954
ENSG00000118260,ENSG00000177606,0.999809
ENSG00000108953,ENSG00000068024,0.995643
ENSG00000105974,ENSG00000164867,0.996896
ENSG00000186625,ENSG00000166579,0.952109
ENSG00000198400,ENSG00000097007,0.983992
ENSG00000124145,ENSG00000154229,0.990756
ENSG00000187555,ENSG00000204209,0.959686
ENSG00000171720,ENSG00000061273,0.999175
ENSG00000101665,ENSG00000123124,0.972961
ENSG00000110395,ENSG00000099942,0.998731
ENSG00000164362,ENSG00000097007,0.986341
ENSG00000168036,ENSG00000044115,0.999634
ENSG00000137693,ENSG00000140464,0.994038
ENSG00000113712,ENSG00000072736,0.9803
ENSG00000178999,ENSG00000100567,0.952489
ENSG00000169439,ENSG00000092820,0.988723
ENSG00000005339,ENSG00000177606,0.999821
ENSG00000100324,ENSG00000112062,0.985072
ENSG00000113712,ENSG00000101096,0.996328
