ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000105649,-0.92,-0.87,-2.79,-0.64,-1.51,NONE,DOWN
ENSG00000139651,1.16,1.07,2.66,0.11,1.5,NONE,NONE
ENSG00000204217,-0.78,-0.52,-0.22,-0.65,-1.5,UP,NONE
ENSG00000165280,-0.62,-0.5,-0.34,-2.57,-1.48,NONE,NONE
ENSG00000143603,1.13,0.54,1.18,0.04,1.46,NONE,UP
ENSG00000132382,-0.25,-0.95,-1.72,0,-1.46,NONE,NONE
ENSG00000148832,1.65,0.87,1.2,1.24,1.45,NONE,NONE
ENSG00000130725,-0.41,-1.34,-0.71,0.36,-1.43,NONE,NONE
ENSG00000177103,1.89,1.27,1.11,0.6,1.38,NONE,NONE
ENSG00000050748,-0.54,-0.31,-1.43,-0.25,-1.35,NONE,DOWN
ENSG00000128050,0.23,0.3,0.52,0.13,1.35,NONE,NONE
ENSG00000176986,0.64,2.13,1.03,0.12,1.33,UP,NONE
ENSG00000241553,-0.56,-2.07,-0.58,0.17,-1.31,DOWN,NONE
ENSG00000186111,1.41,1.07,-0.03,0.96,1.31,NONE,NONE
ENSG00000072163,-0.23,-0.6,-0.61,-0.26,-1.3,NONE,NONE
ENSG00000176472,-0.89,-0.65,-1.82,-0.31,-1.3,NONE,NONE
ENSG00000188229,-1.29,-0.45,-3.45,-3.64,-1.25,NONE,NONE
ENSG00000156113,1.47,0.99,1,1.47,1.24,NONE,NONE
ENSG00000119314,-1.26,-0.39,-1.14,-1.6,-1.23,NONE,NONE
ENSG00000158985,-0.64,-0.55,-1.64,-0.28,-1.23,NONE,NONE
ENSG00000182944,0.35,1.27,0.71,0.27,1.23,NONE,NONE
ENSG00000187531,1.67,1.13,1.45,0.7,1.22,NONE,NONE
ENSG00000104228,0.32,-0.35,-0.03,-0.71,-1.21,NONE,NONE
ENSG00000122257,0.4,0.77,1.28,0.77,1.21,NONE,NONE
ENSG00000198692,-2.05,-0.76,-1.45,-0.59,-1.2,NONE,NONE
ENSG00000075945,-0.18,-0.05,-0.84,-0.41,-1.2,NONE,NONE
ENSG00000168329,-0.32,-0.74,0.22,-0.36,-1.19,NONE,NONE
ENSG00000101400,1.19,0.15,1.51,1.18,1.19,NONE,UP
ENSG00000085788,-0.77,-0.15,-1.41,-0.21,-1.19,NONE,DOWN
ENSG00000106299,-0.8,-0.04,-1.39,-0.19,-1.18,NONE,NONE
ENSG00000130175,0.69,0.56,1.03,0.2,1.18,NONE,NONE
ENSG00000133243,0.83,0.68,0.2,2.3,1.18,NONE,NONE
ENSG00000134107,-0.19,0.93,-0.08,-0.96,1.17,NONE,NONE
ENSG00000135643,1.25,1.51,1.46,1.98,1.16,NONE,NONE
ENSG00000087269,1.05,-0.01,1.99,1.09,1.16,NONE,NONE
ENSG00000110074,-0.65,-0.95,-3.35,-1.41,-1.1,DOWN,DOWN
ENSG00000131711,0.83,0.8,-0.03,1.89,1.1,UP,DOWN
ENSG00000148053,-0.05,-0.02,0.61,-0.46,1.1,NONE,UP
ENSG00000105472,-0.92,-1.23,-1.79,-0.07,-1.1,NONE,NONE
ENSG00000115325,0.98,0.36,1.8,0.3,1.09,NONE,UP
ENSG00000198598,0.09,-0.67,-1.02,-0.27,-1.08,NONE,NONE
ENSG00000017260,-0.39,-0.39,0.11,-1.33,-1.08,NONE,NONE
ENSG00000141756,0.33,0.24,0.47,-0.01,1.07,NONE,UP
ENSG00000168938,0.5,1.22,1.41,0.39,1.07,NONE,UP
ENSG00000160781,-0.11,0.17,0.54,0.21,1.07,DOWN,NONE
ENSG00000127824,-0.81,-0.45,-3.48,-1.39,-1.06,NONE,DOWN
ENSG00000136160,0.82,0.51,1.83,-0.17,1.06,UP,UP
ENSG00000144040,0.95,0.15,1.61,0.42,1.06,DOWN,UP
ENSG00000162409,-0.43,-0.78,-1.17,0.55,-1.04,NONE,NONE
ENSG00000076928,0.58,0.27,1.06,0.58,1.04,NONE,NONE
ENSG00000159202,0.12,-0.79,0.11,-1.9,-1.03,NONE,NONE
ENSG00000162613,-1.47,-0.04,-0.85,-2.26,-1.03,UP,NONE
ENSG00000168404,0.06,0.42,0.14,-0.83,1.02,NONE,UP
ENSG00000244165,0.43,0.65,0.43,2.91,1.02,NONE,NONE
ENSG00000237441,0.14,0.68,1.43,-0.76,1.02,NONE,UP
ENSG00000115875,-0.03,0.87,1.37,-0.99,1,NONE,NONE
ENSG00000158825,0.88,1.49,1.01,0.7,1,UP,UP
ENSG00000167393,0.63,0.36,0.8,0.72,0.99,NA,NA
ENSG00000132341,-0.52,-0.1,-0.1,-1.73,-0.99,NONE,NONE
ENSG00000146414,-0.1,0.07,-0.22,0.43,0.98,UP,NONE
ENSG00000144115,-0.98,-1.16,-1.25,-0.19,-0.98,NONE,NONE
ENSG00000144283,0.4,1.33,0.45,0.44,0.98,NONE,NONE
ENSG00000196367,0.24,1.47,0.48,-0.04,0.97,NONE,NONE
ENSG00000143324,0.19,-0.55,-0.31,0.11,-0.97,NONE,NONE
ENSG00000072062,-0.74,-0.46,-2.36,-0.16,-0.96,NONE,NONE
ENSG00000137766,-1.74,-0.43,-1.53,-2.53,-0.95,UP,NONE
ENSG00000147454,-0.46,-0.99,-0.01,-0.89,-0.95,NONE,NONE
ENSG00000070831,-1.75,-0.24,-1.09,-1.01,-0.94,NONE,NONE
ENSG00000113763,0.22,0.61,0.13,0.34,0.94,NONE,NONE
ENSG00000148843,-0.55,-2.2,-0.62,0.01,-0.94,NONE,NONE
ENSG00000127191,-0.17,-0.5,-0.51,-0.67,-0.92,NONE,NONE
ENSG00000100109,0.56,0.33,-0.12,1.4,0.91,NONE,NONE
ENSG00000101493,0.53,0.16,0.78,0.47,0.9,NONE,UP
ENSG00000167658,-0.69,-0.39,-0.45,-1.24,-0.9,NONE,NONE
ENSG00000067177,0.84,0.33,2.15,-0.05,0.89,NONE,UP
ENSG00000136319,-0.06,-0.8,-0.18,0.38,-0.88,NONE,NONE
ENSG00000113161,-0.66,-0.12,-0.64,-1.33,-0.87,NONE,NONE
ENSG00000196262,0.01,1.07,-0.24,0.36,0.87,NONE,NONE
ENSG00000214013,0.45,1.16,1.78,-0.08,0.86,NONE,NONE
ENSG00000084623,-0.55,-0.63,-1.39,-1.57,-0.86,NONE,NONE
ENSG00000167964,0.03,0.49,-0.11,0.77,0.86,NONE,NONE
ENSG00000123243,0.81,1.39,1.77,0.37,0.85,NONE,UP
ENSG00000143924,-1,-0.28,-1.17,-0.89,-0.85,NONE,NONE
ENSG00000170340,0.58,1.63,1.64,1.1,0.85,NONE,NONE
ENSG00000100201,0.07,1.04,1.31,-0.57,0.84,NONE,NONE
ENSG00000067248,-0.37,-1.21,-0.98,0.62,-0.83,NONE,NONE
ENSG00000133112,0.25,1.03,1.43,0.04,0.82,NONE,NONE
ENSG00000174807,-0.68,-0.07,-0.38,-1.09,-0.81,NONE,NONE
ENSG00000104312,0.3,0.75,1.07,-0.25,0.81,NONE,NONE
ENSG00000143748,-0.14,-1.03,-0.88,0.57,-0.81,DOWN,DOWN
ENSG00000129538,0.71,0.53,2.08,0.13,0.81,NONE,NONE
ENSG00000148358,-0.25,-0.09,0.15,-2.05,-0.8,NONE,NONE
ENSG00000130741,-0.95,-1.16,-0.21,-1.41,-0.79,NONE,NONE
ENSG00000141644,-0.83,-0.4,-0.04,-2.22,-0.78,NONE,NONE
ENSG00000196547,0.71,1.68,1.64,-0.12,0.77,NONE,NONE
ENSG00000105401,-0.14,-0.36,-2.18,-1.32,-0.77,NONE,NONE
ENSG00000221823,-0.75,-0.76,-1.17,-0.64,-0.77,NONE,NONE
ENSG00000151834,-1.01,-0.33,-0.39,-0.99,-0.76,NONE,UP
ENSG00000116254,-0.03,-0.63,-1.67,-0.09,-0.76,DOWN,DOWN
ENSG00000167601,-0.03,0.09,0.45,-1.15,0.76,NONE,UP
