Gene,Target,Custom_Color_Target,Custom_Color_Seed
ENSG00000122912,MitoCarta,Blue,
ENSG00000164898,MitoCarta,Blue,
ENSG00000005187,MitoCarta,Blue,
ENSG00000156170,MitoCarta,Blue,
ENSG00000109424,MitoCarta,Blue,
ENSG00000164466,MitoCarta,Blue,
ENSG00000182512,MitoCarta,Blue,
ENSG00000187024,MitoCarta,Blue,
ENSG00000181991,MitoCarta,Blue,
ENSG00000196236,MitoCarta,Blue,
ENSG00000164951,MitoCarta,Blue,
ENSG00000167969,MitoCarta,Blue,
ENSG00000183032,MitoCarta,Blue,
ENSG00000197119,MitoCarta,Blue,
ENSG00000162241,MitoCarta,Blue,
ENSG00000196636,MitoCarta,Blue,
ENSG00000101166,MitoCarta,Blue,
ENSG00000013306,MitoCarta,Blue,
ENSG00000119013,MitoCarta,Blue,
ENSG00000076043,MitoCarta,Blue,
ENSG00000171766,MitoCarta,Blue,
ENSG00000132286,MitoCarta,Blue,
ENSG00000104835,MitoCarta,Blue,
ENSG00000016391,MitoCarta,Blue,
ENSG00000173141,MitoCarta,Blue,
ENSG00000213563,MitoCarta,Blue,
ENSG00000103356,MitoCarta,Blue,
ENSG00000137106,MitoCarta,Blue,
ENSG00000103707,MitoCarta,Blue,
ENSG00000049883,MitoCarta,Blue,
ENSG00000093144,MitoCarta,Blue,
ENSG00000112855,MitoCarta,Blue,
ENSG00000189043,MitoCarta,Blue,
ENSG00000186010,MitoCarta,Blue,
ENSG00000163382,MitoCarta,Blue,
ENSG00000178307,MitoCarta,Blue,
ENSG00000073169,MitoCarta,Blue,
ENSG00000161653,MitoCarta,Blue,
ENSG00000133835,MitoCarta,Blue,
ENSG00000003509,MitoCarta,Blue,
ENSG00000065154,MitoCarta,Blue,
ENSG00000136897,MitoCarta,Blue,
ENSG00000131174,MitoCarta,Blue,
ENSG00000146282,MitoCarta,Blue,
ENSG00000204237,MitoCarta,Blue,
ENSG00000147592,MitoCarta,Blue,
ENSG00000174886,MitoCarta,Blue,
ENSG00000175756,MitoCarta,Blue,
ENSG00000170791,MitoCarta,Blue,
ENSG00000182199,MitoCarta,Blue,
ENSG00000065911,MitoCarta,Blue,
ENSG00000176623,MitoCarta,Blue,
ENSG00000021826,MitoCarta,Blue,
ENSG00000180992,MitoCarta,Blue,
ENSG00000130349,MitoCarta,Blue,
ENSG00000160439,MitoCarta,Blue,
ENSG00000188917,MitoCarta,Blue,
ENSG00000062582,MitoCarta,Blue,
ENSG00000183978,MitoCarta,Blue,
ENSG00000104687,MitoCarta,Blue,
ENSG00000167136,MitoCarta,Blue,
ENSG00000105552,MitoCarta,Blue,
ENSG00000172171,MitoCarta,Blue,
ENSG00000167107,MitoCarta,Blue,
ENSG00000100416,MitoCarta,Blue,
ENSG00000175110,MitoCarta,Blue,
ENSG00000002549,MitoCarta,Blue,
ENSG00000148672,MitoCarta,Blue,
ENSG00000117305,MitoCarta,Blue,
ENSG00000189283,MitoCarta,Blue,
ENSG00000090263,MitoCarta,Blue,
ENSG00000151413,MitoCarta,Blue,
ENSG00000083099,MitoCarta,Blue,
ENSG00000156968,MitoCarta,Blue,
ENSG00000179271,MitoCarta,Blue,
ENSG00000108064,MitoCarta,Blue,
ENSG00000059573,MitoCarta,Blue,
ENSG00000151093,MitoCarta,Blue,
ENSG00000137944,MitoCarta,Blue,
ENSG00000143374,MitoCarta,Blue,
ENSG00000136270,MitoCarta,Blue,
ENSG00000164983,MitoCarta,Blue,
ENSG00000125995,MitoCarta,Blue,
ENSG00000126432,MitoCarta,Blue,
ENSG00000120675,MitoCarta,Blue,
ENSG00000162972,MitoCarta,Blue,
ENSG00000181061,MitoCarta,Blue,
ENSG00000174109,MitoCarta,Blue,
ENSG00000140983,MitoCarta,Blue,
ENSG00000160785,MitoCarta,Blue,
ENSG00000116882,MitoCarta,Blue,
ENSG00000155463,MitoCarta,Blue,
ENSG00000164209,MitoCarta,Blue,
ENSG00000240857,MitoCarta,Blue,
ENSG00000156411,MitoCarta,Blue,
ENSG00000169239,MitoCarta,Blue,
ENSG00000068120,MitoCarta,Blue,
ENSG00000274768,MitoCarta,Blue,
ENSG00000100577,MitoCarta,Blue,
ENSG00000160471,MitoCarta,Blue,
ENSG00000167699,MitoCarta,Blue,
ENSG00000060971,MitoCarta,Blue,
ENSG00000005469,MitoCarta,Blue,
